ctr,country,cultural dimension,Value
AFE,Africa East,idv,27
AFE,Africa East,ivr,40
AFE,Africa East,ltowvs,32
AFE,Africa East,mas,41
AFE,Africa East,pdi,64
AFE,Africa East,uai,52
AFW,Africa West,idv,20
AFW,Africa West,ivr,78
AFW,Africa West,ltowvs,9
AFW,Africa West,mas,46
AFW,Africa West,pdi,77
AFW,Africa West,uai,54
ALB,Albania,idv,27
ALB,Albania,ivr,15
ALB,Albania,ltowvs,61
ALB,Albania,mas,80
ALB,Albania,pdi,90
ALB,Albania,uai,70
ALG,Algeria,idv,29
ALG,Algeria,ivr,32
ALG,Algeria,ltowvs,26
ALG,Algeria,mas,35
ALG,Algeria,pdi,80
ALG,Algeria,uai,70
ARA,Arab countries,idv,38
ARA,Arab countries,ivr,34
ARA,Arab countries,ltowvs,23
ARA,Arab countries,mas,53
ARA,Arab countries,pdi,80
ARA,Arab countries,uai,68
ARG,Argentina,idv,46
ARG,Argentina,ivr,62
ARG,Argentina,ltowvs,20
ARG,Argentina,mas,56
ARG,Argentina,pdi,49
ARG,Argentina,uai,86
ARM,Armenia,idv,17
ARM,Armenia,ivr,25
ARM,Armenia,ltowvs,61
ARM,Armenia,mas,50
ARM,Armenia,pdi,85
ARM,Armenia,uai,88
AUL,Australia,idv,90
AUL,Australia,ivr,71
AUL,Australia,ltowvs,21
AUL,Australia,mas,61
AUL,Australia,pdi,38
AUL,Australia,uai,51
AUT,Austria,idv,55
AUT,Austria,ivr,63
AUT,Austria,ltowvs,60
AUT,Austria,mas,79
AUT,Austria,pdi,11
AUT,Austria,uai,70
AZE,Azerbaijan,idv,28
AZE,Azerbaijan,ivr,22
AZE,Azerbaijan,ltowvs,61
AZE,Azerbaijan,mas,50
AZE,Azerbaijan,pdi,85
AZE,Azerbaijan,uai,88
BAN,Bangladesh,idv,20
BAN,Bangladesh,ivr,20
BAN,Bangladesh,ltowvs,47
BAN,Bangladesh,mas,55
BAN,Bangladesh,pdi,80
BAN,Bangladesh,uai,60
BEL,Belgium,idv,75
BEL,Belgium,ivr,57
BEL,Belgium,ltowvs,82
BEL,Belgium,mas,54
BEL,Belgium,pdi,65
BEL,Belgium,uai,94
BLR,Belarus,idv,48
BLR,Belarus,ivr,15
BLR,Belarus,ltowvs,81
BLR,Belarus,mas,20
BLR,Belarus,pdi,95
BLR,Belarus,uai,95
BOS,Bosnia,idv,40
BOS,Bosnia,ivr,44
BOS,Bosnia,ltowvs,70
BOS,Bosnia,mas,48
BOS,Bosnia,pdi,90
BOS,Bosnia,uai,87
BRA,Brazil,idv,38
BRA,Brazil,ivr,59
BRA,Brazil,ltowvs,44
BRA,Brazil,mas,49
BRA,Brazil,pdi,69
BRA,Brazil,uai,76
BUF,Burkina Faso,idv,15
BUF,Burkina Faso,ivr,18
BUF,Burkina Faso,ltowvs,27
BUF,Burkina Faso,mas,50
BUF,Burkina Faso,pdi,70
BUF,Burkina Faso,uai,55
BUL,Bulgaria,idv,30
BUL,Bulgaria,ivr,16
BUL,Bulgaria,ltowvs,69
BUL,Bulgaria,mas,40
BUL,Bulgaria,pdi,70
BUL,Bulgaria,uai,85
CAN,Canada,idv,80
CAN,Canada,ivr,68
CAN,Canada,ltowvs,36
CAN,Canada,mas,52
CAN,Canada,pdi,39
CAN,Canada,uai,48
CHI,China,idv,20
CHI,China,ivr,24
CHI,China,ltowvs,87
CHI,China,mas,66
CHI,China,pdi,80
CHI,China,uai,30
CHL,Chile,idv,23
CHL,Chile,ivr,68
CHL,Chile,ltowvs,31
CHL,Chile,mas,28
CHL,Chile,pdi,63
CHL,Chile,uai,86
COL,Colombia,idv,13
COL,Colombia,ivr,83
COL,Colombia,ltowvs,13
COL,Colombia,mas,64
COL,Colombia,pdi,67
COL,Colombia,uai,80
CRO,Croatia,idv,33
CRO,Croatia,ivr,33
CRO,Croatia,ltowvs,58
CRO,Croatia,mas,40
CRO,Croatia,pdi,73
CRO,Croatia,uai,80
CZE,Czech Rep,idv,58
CZE,Czech Rep,ivr,29
CZE,Czech Rep,ltowvs,70
CZE,Czech Rep,mas,57
CZE,Czech Rep,pdi,57
CZE,Czech Rep,uai,74
DEN,Denmark,idv,74
DEN,Denmark,ivr,70
DEN,Denmark,ltowvs,35
DEN,Denmark,mas,16
DEN,Denmark,pdi,18
DEN,Denmark,uai,23
DOM,Dominican Rep,idv,38
DOM,Dominican Rep,ivr,54
DOM,Dominican Rep,ltowvs,13
DOM,Dominican Rep,mas,65
DOM,Dominican Rep,pdi,65
DOM,Dominican Rep,uai,45
EGY,Egypt,idv,13
EGY,Egypt,ivr,4
EGY,Egypt,ltowvs,7
EGY,Egypt,mas,55
EGY,Egypt,pdi,80
EGY,Egypt,uai,55
EST,Estonia,idv,60
EST,Estonia,ivr,16
EST,Estonia,ltowvs,82
EST,Estonia,mas,30
EST,Estonia,pdi,40
EST,Estonia,uai,60
ETH,Ethiopia,idv,7
ETH,Ethiopia,ivr,46
ETH,Ethiopia,ltowvs,14
ETH,Ethiopia,mas,65
ETH,Ethiopia,pdi,70
ETH,Ethiopia,uai,55
FIN,Finland,idv,63
FIN,Finland,ivr,57
FIN,Finland,ltowvs,38
FIN,Finland,mas,26
FIN,Finland,pdi,33
FIN,Finland,uai,59
FRA,France,idv,71
FRA,France,ivr,48
FRA,France,ltowvs,63
FRA,France,mas,43
FRA,France,pdi,68
FRA,France,uai,86
GBR,Great Britain,idv,89
GBR,Great Britain,ivr,69
GBR,Great Britain,ltowvs,51
GBR,Great Britain,mas,66
GBR,Great Britain,pdi,35
GBR,Great Britain,uai,35
GEO,Georgia,idv,15
GEO,Georgia,ivr,32
GEO,Georgia,ltowvs,38
GEO,Georgia,mas,55
GEO,Georgia,pdi,65
GEO,Georgia,uai,85
GER,Germany,idv,67
GER,Germany,ivr,40
GER,Germany,ltowvs,83
GER,Germany,mas,66
GER,Germany,pdi,35
GER,Germany,uai,65
GRE,Greece,idv,35
GRE,Greece,ivr,50
GRE,Greece,ltowvs,45
GRE,Greece,mas,57
GRE,Greece,pdi,60
GRE,Greece,uai,100
HOK,Hong Kong,idv,25
