,Africa East,Africa West,Albania,Algeria,Arab countries,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Belarus,Bosnia,Brazil,Burkina Faso,Bulgaria,Canada,China,Chile,Colombia,Croatia,Czech Rep,Denmark,Dominican Rep,Egypt,Estonia,Ethiopia,Finland,France,Great Britain,Georgia,Germany,Greece,Hong Kong,Hungary,Iceland,Indonesia,India,Iran,Ireland,Iraq,Italy,Jordan,Japan,Korea South,Latvia,Lithuania,Luxembourg,Macedonia Rep,Malaysia,Mexico,Malta,Montenegro,Moldova,Morocco,Netherlands,Nigeria,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,South Africa,El Salvador,Saudi Arabia,Serbia,Singapore,Slovak Rep,Slovenia,Spain,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Trinidad and Tobago,Turkey,Ukraine,Uruguay,U.S.A.,Venezuela,Vietnam,Zambia
Africa East,0.0,2.0745136242342648,3.090235296665771,1.2712456662813387,1.4280335565991664,2.3669630678567315,2.4899001741067885,3.5305078657960967,3.950538477866279,2.490557837024137,1.6117300095814824,3.6945295380178376,3.7227149645318103,2.6986593987781786,1.6388799748846778,1.267477635389769,2.4437067612555885,2.9661967730618164,3.0634797390061883,2.139362595058762,2.811508146918337,1.7997457059418165,2.552695496798978,3.8365677224821413,1.7536107306276598,2.279109418816203,3.0686705397745886,1.7969622830583178,2.483248996738381,2.8379360428240137,3.7554474541921077,1.849059944685522,3.4379188046902933,2.5345813581678827,2.1101274761315767,4.005731536789896,3.6155366532481303,1.5720265438523127,1.8000110966529774,1.0684736567853248,3.279281201282297,2.8900363873174695,3.2214860424097886,1.0281482076916977,4.313664030527936,3.2932568162702784,3.4074985440602976,3.2425881679480817,2.5835074019757944,2.501115213056856,2.1419693163729883,3.3813414626680105,2.850892887342387,2.940753360576856,3.0233916796299085,1.662332297357601,3.5793647233438977,2.7369054846739327,3.1122492352527753,3.553559735489319,2.265686917112608,1.7469732779303206,1.9915577835688218,2.7667308714911747,2.2862519217262984,2.8745648054163375,2.4980558515625395,3.364775185418768,1.7524777319683573,2.980382591306543,1.2754384940595422,2.371633103101616,2.7455895607354655,4.3031479283877365,2.238672150318496,2.0513933643379465,3.859384469055578,3.511509778298708,2.752980116392291,0.34603149039645137,0.7759073955345278,2.353723217134886,1.7645522318996614,3.788393125446396,2.278916149134774,3.4894697851288194,3.588401589025929,1.5392870190055148,0.4320656634199722
Africa West,2.0745136242342648,0.0,4.1143165910253785,2.3890175504835955,2.3051566327320585,2.5278191784909168,3.5898060012516724,3.743593710215009,4.635399287244645,3.6914499523397137,3.0637211214111972,4.461880530151311,4.966838222289892,3.5012914762883156,2.1634898564737246,2.787406378404022,4.028479248084977,3.4579557354893407,4.32585245713639,2.1717872133390506,1.6878416533951182,3.1693951661647333,4.009125046050085,4.4653282030677675,1.8347353570392844,3.316981964335431,4.887619474889013,1.8857561021545857,3.4220040102826896,3.7720762973611865,4.300675502364303,2.879929008139008,4.71194775727267,3.1393507899206683,3.7268700402475265,4.961610335210511,4.197393942419003,2.8531024170927908,3.246679534665686,2.1518496203287634,3.6664382667996485,3.557116576960543,4.425300561883804,1.6873084721788552,5.123881601693341,4.689428530429162,5.109759437800833,5.014880903277817,3.621643332735761,3.465617911615756,2.1718140938698203,2.14745456536494,3.2528220369736127,4.1613616820474615,4.211903297106908,2.7348143302449026,4.428067555107969,1.2135200247135667,4.023314762704158,3.917969012655025,4.069862856057564,2.2982157280991453,2.287339720124518,3.6946264595892444,3.193269849651625,1.5746421809966764,3.6340341197911226,4.560488384815672,2.08028778290773,2.0787408835451164,2.0930483517240814,3.387660206234928,3.67719473970264,4.987048049341708,3.0671322763486195,3.15435257302038,4.445932163807655,4.2644962923723275,3.9074869251115607,2.1215816021809966,2.0213996097325375,1.6254830961216618,2.6353381348184124,5.086562170268434,2.685991813697907,3.805985126446346,2.1031619893242715,3.012166140710174,2.131634344351222
Albania,3.090235296665771,4.1143165910253785,0.0,3.00134237145279,2.4238226861033096,3.766476758112936,1.961469753468195,4.975187347331764,4.564080048314956,1.8866136459147833,1.6769455263759094,3.6548244597119357,3.707985379088269,2.4073363914858135,2.915944308607739,2.5380394330908014,2.5236422166838497,4.636628017257658,2.393678796646063,4.177283149030184,3.950227662732176,2.533004903670224,2.5630032232240776,6.378787180285379,3.2728068605610954,2.877422383230418,4.063379825120061,2.9302048832060885,4.853757862035848,3.4104424441356387,4.8606887212516625,2.3677949574618906,3.598863793337422,2.9378538782382253,2.531307508882923,3.3148755504835843,6.104209910288942,2.492512817220192,2.310057821586854,3.4976051425413117,4.796793862045736,2.4576928181323408,3.030373678612155,3.1330318760955933,2.8607259946694272,3.2940591117183122,4.889393302903436,4.420679210116805,3.7427674820800605,2.324293420502769,3.0939611882797635,4.040420313743143,3.851402536503996,2.0829145337092987,2.569745663234718,2.8053802660385943,5.568255662143829,4.070664400030819,5.687548172717174,5.189667954006855,2.5659539012629624,3.304115918639576,2.3975651660217894,2.539444522030007,3.6447958224378874,4.794500196662448,2.3249828575763947,2.8641755256243866,3.4057065036482994,4.5934972342064135,3.088909591892123,2.381486871092731,3.769043491550996,2.046583061154469,3.8840017816980503,3.241109144604728,6.34983872150749,4.078190847903643,3.213813407329657,2.9868338639884526,3.366769980451551,4.333971785045203,2.8913961565424584,3.517876787281,3.7528162592355936,4.855799677503334,4.289544190175651,3.182057844409726,3.319271121634278
Algeria,1.2712456662813387,2.3890175504835955,3.00134237145279,0.0,1.076190894292204,2.5550585755764663,1.9844627447494338,4.136597045587289,4.722629659411574,1.940139796799473,1.6179164622698163,3.6844688234740253,3.0129788808688858,2.2911271651122336,1.757175679736577,1.4691172980130482,2.1249896559131476,3.684578457263106,3.6203650721224556,2.005122730571608,2.9958842092084272,1.490512418463368,2.780959732788325,4.673833351239848,2.445610860235305,2.0802367009336358,3.447351836758608,2.231716725117325,3.071607422001333,2.708488670678584,4.580624797324468,1.6877362826764124,4.035442429875373,2.38435697118124,2.83638637849968,4.270166036767837,4.080057878124743,2.043747602696005,2.2684031326845653,1.5021499503995441,4.206550554212939,1.896844517990244,3.4962769317180413,1.0750226162683354,4.569839390993586,3.355206134355542,3.513227404935757,3.4702307648208017,3.1538139924526876,1.9150910377622792,2.4003544437057758,3.463524189834904,2.8288122462292447,2.447423202993471,2.345381088201029,1.4544366534336504,4.068665230874534,3.0844828150571795,3.604549792187353,4.358966072273469,2.3626062825530108,1.4455057830655638,2.161164899481971,2.4731868383491515,1.6063849276139577,3.4603139870325776,1.6465732500453187,2.7373797210109063,2.7646008874286045,2.890880874613922,1.4360987583037628,1.6020227914788316,3.627957785890102,4.468466812317284,1.7575887490892894,2.00189557278482,4.562005011121856,4.263406048360998,3.1771282382221546,1.1807574233423361,1.1117660329613677,3.1238437636751946,1.62304778242513,3.173560311113309,1.881614057364042,4.135421939343821,3.757177850602605,2.3735434623596836,1.4789425091470174
Arab countries,1.4280335565991664,2.3051566327320585,2.4238226861033096,1.076190894292204,0.0,2.1631238109098803,2.1131835158176964,3.5842305992877246,4.234679611954488,1.9841619927086436,1.4668611202147979,3.4206030685700934,3.4821710471553033,2.2671125269107595,1.5670408409538148,1.472171620743349,2.408933630661049,3.283314371120414,3.402802383101467,2.4600911688804143,2.6661354335092207,1.765115996701472,2.4571897387758614,4.785118043166781,1.751544262635431,1.9405036784765592,3.6246800137339283,1.8144593075248476,3.1986458730338656,2.5667238919246262,4.049865952755725,1.6076602383270224,3.6441755248645014,2.140496489755866,2.6629336988514325,3.5164101379119925,4.268830539218534,2.1910819349045245,1.8522333594929843,1.3622813218309686,3.6470316576186117,1.8118911009079606,2.900570011377197,1.1447790019026995,3.967552828285962,3.645195713793451,3.9285726661505134,3.811477660450403,2.9377378136982633,1.9668236213700927,2.251783613728896,3.0047375342270906,2.64861730649575,2.567456709311237,2.6615270320472915,0.8113756640472446,4.2692545647738696,2.881029278293963,3.928362303234672,3.93882961303014,2.476978856972441,1.7226314861208922,1.5173034978566682,1.8514384660271663,2.12235315470188,3.063355911092801,1.9020475233631589,3.013991983020559,2.375952971364777,3.0037647961766405,1.2652726991211756,1.8687374107421997,3.6136292904404157,3.7036334262801605,2.5129967247237928,1.9823154090580786,4.830393991270536,3.7880083668490605,3.338175557953779,1.4188294483851507,1.6494981519617755,2.8708578302938683,1.6263925350299473,3.4903824940657797,2.0529519606636994,3.5674462060839462,3.343158580841198,2.5522014534524446,1.5458730924968567
Argentina,2.3669630678567315,2.5278191784909168,3.766476758112936,2.5550585755764663,2.1631238109098803,0.0,3.2230534602794854,2.623136321339553,2.918496104408826,3.1384253058507556,3.12148576242356,3.016152961286646,4.457014346764198,3.039613624298045,1.567598540331884,2.987714941241335,3.254507401834504,2.479260368315779,4.615514404505737,2.0266578738502474,2.0154439312446364,2.5851758732913814,2.684109785557729,4.210019791429031,2.199517752361289,3.6449424085728475,3.854289978065727,2.616292378264425,2.4608850617031655,2.4807685922317204,3.4228571250606548,2.18182658786755,3.2259615971983333,1.5212694014600205,3.9524497204407263,3.116107937462012,3.5768842976174233,3.403036744595646,3.265120870980863,1.8260548513854002,2.877532898434747,3.2475437809967147,2.7353980974306933,2.0953638424626932,3.6760903028621215,3.9868020504523094,4.215383641352535,4.043063544233857,2.1603157541438405,2.9861734481194895,3.648546625880882,2.4237350562839732,1.4825350550519556,3.636059658502885,3.720972592705335,2.1218761567373456,3.749830980957359,3.0804404418269193,3.4630290057215687,2.7247012385364875,3.425696411193549,1.8396256342156299,3.1752794755885496,2.05185876821366,2.2675130911734853,2.8465309604305515,3.212228752315406,3.9964652162688092,2.115499784365144,2.0981253386516485,1.8613957401687504,2.9513827479642902,4.625254105988144,4.756091170267982,2.792350701988602,1.6673150406454447,4.383568904963004,2.9752015910171496,3.51878166030876,2.6335726696711523,2.2673693599200986,2.1314566295144237,1.6464796184115547,4.393255291344094,1.4275890684540646,2.788749428409281,2.925817330099233,3.7041011048014743,2.2482049667740283
Armenia,2.4899001741067885,3.5898060012516724,1.961469753468195,1.9844627447494338,2.1131835158176964,3.2230534602794854,0.0,5.065687361349496,4.671463139254753,0.49847861532655124,1.4983776472211714,3.2024936233934262,2.4015038988552915,1.38763464174557,2.124813163388322,2.2394607055236744,1.2025566442139701,4.5586431137515175,3.0551259011652125,2.799338905474424,3.47381960791457,1.187587484894827,2.4124878005233046,5.886026476048981,3.4823259647616256,2.908271804039104,3.489589011469033,2.909467999510122,4.115720140704824,2.7285133706031344,5.162813354270432,1.4384128463802102,3.7308187386576006,2.0554781853697035,2.9407480248254587,3.9611568110962625,5.3638894927176075,1.9974257443670824,2.6979555464063902,3.0144723041077834,5.065636810700643,1.734465713102101,3.3431266318887944,2.4345889411087143,3.439155731675536,2.1324007874954085,4.019118870026977,3.589715063573603,3.3069804045449707,1.158665654940569,3.041727675339343,3.7375924872697355,3.0234124616489173,0.7888676994968064,0.9815712068805839,2.622559962441725,4.799713375877299,3.7475872580949425,4.84290424931782,5.148006401369331,2.0707075715309062,2.0869041763692273,2.8265321437505304,2.4105015527128826,2.1692820917808247,4.711179694338532,0.8786900262972654,1.5857008378059985,3.3223799067756175,3.4817382607884455,2.4775521804070784,0.6815808245304875,3.9109935520636636,3.715940890501797,2.1946558555698847,2.2953163179688203,5.631391873743588,4.227367448808892,2.343861678549558,2.38578497366038,2.3076769577648744,3.9847780612082513,1.7964549013441868,2.4264190900622613,2.5222145970231273,5.0260295363342244,4.0534050670807185,2.8960297766638523,2.788688554389364
Australia,3.5305078657960967,3.743593710215009,4.975187347331764,4.136597045587289,3.5842305992877246,2.623136321339553,5.065687361349496,0.0,2.9323087217501307,4.835255559140969,4.47928875784884,3.6304670081882597,5.718247957226798,4.485805021232117,3.230973398506589,4.369408665742226,4.798503269555052,0.929702553599583,5.1429351079135674,4.022040407303683,3.9454779290161652,4.177699174201958,3.4076513244642967,3.0917910839633422,2.7741888170485938,4.97187980449263,4.1387250081412015,4.11957300741806,2.4791778228685546,3.249559729035299,1.4923615990232428,4.30709564791623,3.1751256024382846,3.74859567736406,4.4444460107999495,3.1788959031625676,2.8570636177664506,4.535061781295503,3.580976357867314,2.93223444524453,1.3381367013861736,5.161026177009196,2.8737089106910148,3.814658518116261,4.567570105284891,5.4118858825226654,4.450684729895603,4.4514263637486735,2.554725199677748,4.498091295313521,4.347060080063247,3.857859116219319,2.969684181031331,5.240375248652031,5.410220138485961,3.3388991633092147,3.2432770529204067,4.487714876663686,3.196998063304678,1.075831676853392,4.910697210683988,4.147822248213082,3.9643218467415364,3.413238793530844,4.43409840909407,2.8756654449004473,4.941619777860837,5.436715749512749,3.049055914100797,4.178789737905403,2.9240720883429843,4.841184487868369,4.764536039335863,5.050677804335974,4.563371757309191,3.192390847565724,3.624337745215098,2.498669128254758,4.748652418037707,3.7731267173126666,3.8781378015193444,3.3132119774986886,3.540571546292447,5.5325106385046325,3.7264749390944796,0.3601559194261322,4.413960891530201,4.340834480505549,3.166327923276714
Austria,3.950538477866279,4.635399287244645,4.564080048314956,4.722629659411574,4.234679611954488,2.918496104408826,4.671463139254753,2.9323087217501307,0.0,4.57360456638584,4.415863837710443,3.426586462762868,5.824512738439952,4.434932309443132,3.4367710598611856,4.491840515127957,4.35420223167034,2.7105277637636953,4.677247517929684,4.272755396695445,4.042392909995225,4.0750449320403686,2.993083626262202,4.323125478796556,3.665525854429473,5.3441328974125355,3.8206498821571464,4.242701422016778,3.2970707822311565,3.6217025483691527,2.6378297495938767,3.8625181281960104,2.0381348074631815,3.2565771347935244,4.320638794452143,2.580796251553259,4.394483852911962,4.4081449744284695,4.099221151649576,3.8061432802768103,2.530578777758971,5.390489538879908,2.622234634942811,4.276312722587187,2.931662206299673,4.317561839234121,4.776595169217259,4.27958900708514,2.1665566366220426,4.572520129578091,5.117679932472106,4.238750962944967,3.1146925059195367,4.831331917002349,5.145632197942942,4.118080371779567,4.0444979501185765,4.834788667522414,4.30358669648037,2.2837476509263666,4.26861958265188,4.12472386980561,4.72234560900217,3.5625762460399653,4.494101502886168,4.415238031114012,4.972346776340379,5.268116091086698,2.879797607527459,4.425048906703165,3.761712230536132,4.747088950976263,4.8820340842092484,4.884562099349731,4.712823701639599,3.2679551739351758,4.694202097786408,1.579821176564058,3.708980180502604,4.221663345658571,4.143245399681088,3.4930359889709894,3.534829312637022,5.5606203461940815,3.9481322939128676,2.94154491496502,4.626380643881535,4.49451045784955,3.7854160136638058
Azerbaijan,2.490557837024137,3.6914499523397137,1.8866136459147833,1.940139796799473,1.9841619927086436,3.1384253058507556,0.49847861532655124,4.835255559140969,4.57360456638584,0.0,1.5196546385984644,2.905397220817797,2.144099731961044,1.1955814022230666,2.06821498603463,2.29479711386927,1.0216371060585678,4.345661955185775,3.0732102759281825,2.8868429204271218,3.627641862708966,1.0392623786492219,2.095991766292253,5.74666564806238,3.439623638209581,2.937654029773644,3.2426570197085405,3.06238514365977,3.953292628384184,2.3860585999705948,4.938809937312097,1.5757806773131913,3.4988962311020515,2.0021976472298886,2.9098544801497277,3.6555640633683946,5.170803368766156,2.1250133598570295,2.4974168931124487,2.9158730346575212,4.914190675894413,1.6815544772796946,3.000871340889189,2.5018912298230607,3.3251119580264215,2.1909418756429995,3.7464580522424007,3.350171236839527,3.1208712383445967,0.8611114954854107,3.0814746446562333,3.809343806836976,2.8466247089602095,0.6265183987429909,0.849730528189109,2.430698479509214,4.597912491639045,3.961619510557675,4.676300278363044,4.972835485714118,2.090689706989669,2.2114171304057706,2.793897730212031,2.073548016796373,2.1511597835131613,4.70203593720035,0.6452197590163338,1.3344127837740387,3.3878468653395477,3.6100943881103413,2.3236550823900055,0.6418651678821996,3.957659199433919,3.5526960243154004,2.216532144880603,2.0761405277367895,5.505511645018629,4.056461860171739,2.453944454379623,2.399153937716807,2.383467137529856,4.099982801233007,1.7074546804963724,2.1004279503078855,2.4775654290414404,4.78565786400437,4.214565069585607,2.9370052636425226,2.73264775246791
